Date,Time,TxBat(V),RSSI(dB),RX,SWR,VFR(%),RxBatt(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),Altitude(m),VSpeed(m/s),RPM(U/min),Current(A),GPS,GPS clock(),GPS speed(kn),GPS alt(m),GPS course(°),ADC2(V),Air speed(kn),VFAS(V),RB Ch. State(),RB State(),R.angle(°),P.angle(°),GASS temp1(°C),GASS temp2(°C),GASS RPM(U/min),GASS res. vol.(ml),GASS res. %(%),GASS flow(ml/min),GASS max flow(ml/min),GASS avg flow(ml/min),H.pressure(Pa),ESC RPM(U/min),ESC consumption(mAh),RxBatt1(V),RxBatt2(V),RxCurrent(A),Rx Quality(%),Rx RSSI1(dB),Rx RSSI2(dB),Antenna,Rx SNR(dB),RF Mode,Tx Power,Tx Quality(%),Tx RSSI(dB),Tx SNR(dB),Seitenruder,Höhenruder,Gas,Querruder,S1,S2,S3,Drehg. li.,Drehg. re.,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LS1,
2025-10-28,16:16:36.560,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:36.820,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:37.090,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:37.360,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:37.630,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:37.900,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:38.160,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:38.420,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:38.680,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:38.950,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:39.210,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:39.470,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:39.740,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:40.000,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:40.260,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:40.520,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:40.790,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:41.050,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:41.310,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:41.570,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:41.840,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:42.110,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:42.370,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:42.640,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:42.900,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:43.160,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:43.420,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:43.680,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:43.940,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:44.200,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:44.470,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:44.730,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:44.990,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:45.260,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:45.520,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:45.780,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:46.040,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:46.310,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:46.570,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:46.840,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:47.110,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:47.380,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:47.650,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:47.910,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:48.180,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:48.440,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:48.710,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
2025-10-28,16:16:48.970,7.50,64,0,32,100,5.38,3.20,3.72,,,,,,,3.69,3.72,3.71,3.70,3.69,3.71,,,0.00,0.50,,10.0,,,,,,10.40,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
